"","bilingu_wordpair","en_wordpair","en_word_1","en_word_2","cs_wordpair","cs_word_1","cs_word_2","cs upper CI","cs mean","cs lower CI","en upper CI","en mean","en lower CI","CS_Annotator_ 1","CS_Annotator_ 2","CS_Annotator_ 3","CS_Annotator_ 4","CS_Annotator_ 5","CS_Annotator_ 6","CS_Annotator_ 7","CS_Annotator_ 8","CS_Annotator_ 9","CS_Annotator_ 10","CS_Annotator_ 11","CS_Annotator_ 12","CS_Annotator_ 13","CS_Annotator_ 14","CS_Annotator_ 15","CS_Annotator_ 16","CS_Annotator_ 17","CS_Annotator_ 18","CS_Annotator_ 19","CS_Annotator_ 20","CS_Annotator_ 21","CS_Annotator_ 22","CS_Annotator_ 23","CS_Annotator_ 24","CS_Annotator_ 25"
"2","admission-ticket_vstupné-lístek","admission-ticket","admission","ticket","vstupné-lístek","vstupné","lístek",7.76636214905198,6.78,5.79363785094802,8.40817873020858,7.6875,6.96682126979142,5,2,7,8,9,8,0,7,8,7,5,9,7,6,8,8,7,5,8,6,10,3,9.5,8,9
"3","alcohol-chemistry_alkohol-chemie","alcohol-chemistry","alcohol","chemistry","alkohol-chemie","alkohol","chemie",6.94607420213327,5.96,4.97392579786673,6.65859131790783,5.53846153846154,4.41833175901525,9,4,1,7,8,8,9,2,8,6,4,9,4,5,5,5,6,9,3,7,10,5,6,4,5
"5","aluminum-metal_hliník-kov","aluminum-metal","aluminum","metal","hliník-kov","hliník","kov",8.53782706266619,8.06,7.58217293733381,8.36698990986219,7.828125,7.28926009013781,7,6,7,7,8,10,10,7,10,8,8,8,8,9.5,8,8,9,7,7,7,10,9,8,7,8
"6","announcement-effort_oznámení-snaha","announcement-effort","announcement","effort","oznámení-snaha","oznámení","snaha",3.49963252598555,2.6,1.70036747401445,3.71309133587734,2.75,1.78690866412266,7,1,1,2,1,0,4,0,6,4,1,6,5,3,4,4,3,5,4,1,0,2,1,0,0
"9","announcement-news_oznámení-zprávy","announcement-news","announcement","news","oznámení-zprávy","oznámení","zprávy",7.84257639961933,7.176,6.50942360038067,8.11176197575111,7.5625,7.01323802424889,9,6,7,6,7,7,9,8,10,7,6,10,8,6.4,7,8,5,5,6,8,8,3,9,7,7
"11","announcement-production_oznámení-produkce","announcement-production","announcement","production","oznámení-produkce","oznámení","produkce",3.6442247334395,2.692,1.7397752665605,4.42055150178859,3.375,2.32944849821141,7,1,2,1,4,0,5,0,7,4,1,2,4,5.8,4,3,0,4.5,6,1,0,1,3,1,0
"12","announcement-warning_oznámení-varování","announcement-warning","announcement","warning","oznámení-varování","oznámení","varování",7.71835940252808,7.114,6.50964059747192,7.0295879460067,6,4.9704120539933,3,7.5,6,7,7,9,9,6,9,6,8,6,7,8.1,8,7.5,6,5,8,6,9,7,8.75,6,8
"13","Arafat-Jackson_Arafat-Jackson","Arafat-Jackson","Arafat","Jackson","Arafat-Jackson","Arafat","Jackson",4.91056939649537,3.78,2.64943060350463,3.91719493819451,2.5,1.08280506180549,7,3,5,3,5,0,0,0,1,8,5,9,6,4,8,7.5,2,1,5,2,3,3,4,3,0
"14","Arafat-peace_Arafat-mír","Arafat-peace","Arafat","peace","Arafat-mír","Arafat","mír",7.09273240107174,6.28,5.46726759892826,7.98030549706995,6.73076923076923,5.48123296446851,3,5,6,9,10,4,10,5,7,5,4,7,4,9,5,7,8,6,6,5,9,6,7,5,5
"15","Arafat-terror_Arafat-terorismus","Arafat-terror","Arafat","terror","Arafat-terorismus","Arafat","terorismus",7.30108219778277,6.532,5.76291780221723,8.68132814699182,7.65384615384615,6.62636416070049,7,7,5,8.5,8,3,10,4,9,5,6,7,7,9.3,5,6,4,5,7,7,9,5,8.5,5,6
"18","architecture-century_architektura-století","architecture-century","architecture","century","architektura-století","architektura","století",6.74190934346785,5.88,5.01809065653215,5.20100163984208,3.78125,2.36149836015792,4,2,5,3,6,6,10,4,5,8,3,7,7,9,6,7,7,9,6,6,7,6,7,5,2
"21","arrangement-accommodation_zařízení-ubytování","arrangement-accommodation","arrangement","accommodation","zařízení-ubytování","zařízení","ubytování",5.87397276365573,5.124,4.37402723634427,6.12918245739659,5.40625,4.68331754260341,5,2,4,6,5,7,8,1,4,6,5,7,5,8.1,6,4,3,3,4,7,7,5,7,5,4
"23","arrival-hotel_příjezd-hotel","arrival-hotel","arrival","hotel","příjezd-hotel","příjezd","hotel",6.37319620029875,5.468,4.56280379970125,6.99689424208496,6,5.00310575791504,5,0,5,2,8,8,8,3,8,7,1,7,5,6.7,6,6,4,6,3,6,7,6,6,6,7
"25","asylum-madhouse_blázinec-cvokárna","asylum-madhouse","asylum","madhouse","blázinec-cvokárna","blázinec","cvokárna",9.7510606101483,9.328,8.9049393898517,9.67569682229044,8.86538461538461,8.05507240847879,10,9,9,9,10,10,10,10,10,6,8,10,10,9.3,9,9.9,9,7,9,9,10,10,10,10,10
"27","atmosphere-landscape_atmosféra-krajina","atmosphere-landscape","atmosphere","landscape","atmosféra-krajina","atmosféra","krajina",5.82458239028805,4.698,3.57141760971195,5.19112586620721,3.6875,2.18387413379279,7,4,5,1,6,3,0,0,5,8,1,7,8,5.7,4,7,2,8,8,7,6,2,7.75,2,3
"28","attempt-peace_pokus-mír","attempt-peace","attempt","peace","pokus-mír","pokus","mír",5.17676020116667,4.168,3.15923979883333,5.13097049651683,4.25,3.36902950348317,7,1,5,5,8,3,3,3,7,6,1,3,8,9.2,5,3,4,7,4,3,1,3,1,2,2
"31","baby-mother_miminko-matka","baby-mother","baby","mother","miminko-matka","miminko","matka",8.15058031288597,7.636,7.12141968711403,8.99923564361074,7.84615384615385,6.69307204869695,9,7,7,7,8,7,10,6,9,7,6,9,6,9.9,8,7,7,8,7,7,10,8,8,6,7
"32","bank-money_banka-peníze","bank-money","bank","money","banka-peníze","banka","peníze",8.91002346379299,8.392,7.87397653620701,8.93503169707006,8.11538461538461,7.29573753369917,8,7,7,9,10,10,10,8,10,9,8,9,10,9,8,8,8,8.8,8,6,10,7,9,6,7
"33","baseball-season_basebal-sezóna","baseball-season","baseball","season","basebal-sezóna","basebal","sezóna",6.62378671198719,5.736,4.84821328801281,7.07998954710675,5.96875,4.85751045289325,8,4,5,2,7,6,9,2,8,7,4,7,8,8.4,7,7,2,7,7,5,6,4,2,5,6
"36","bed-closet_postel-skříň","bed-closet","bed","closet","postel-skříň","postel","skříň",7.14900744934357,6.1,5.05099255065643,7.72963900920532,6.71875,5.70786099079468,8,2,7,3,8,1,10,0,7,8,5,8,7,7,6,8,7,4,7,5,10,5,5.5,6,8
"38","benchmark-index_měřítko-index","benchmark-index","benchmark","index","měřítko-index","měřítko","index",5.76374576318855,4.552,3.34025423681144,5.28874001884538,4.25,3.21125998115462,7,0,7,4,7,0,0,0,8,6,1,7,6,7.8,8,7,6,6,6,1,3,1,7,3,5
"40","bird-cock_pták-kohout","bird-cock","bird","cock","pták-kohout","pták","kohout",7.94003405386096,7.048,6.15596594613904,7.88325448180573,7.1,6.31674551819427,4,7,7,7,8,9,2,0,10,8,6,8,7,8.7,8,8,8,7,7,7,9,8,7.5,7,8
"41","bird-crane_pták-jeřáb","bird-crane","bird","crane","pták-jeřáb","pták","jeřáb",8.175638001165,7.3,6.424361998835,8.17592754865106,7.38461538461539,6.59330322057971,9,4,7,8,9,7,5,6,10,8,6,9,10,8.5,7,7,8,9,7,7,9,0,8,6,8
"42","bishop-rabbi_biskup-rabín","bishop-rabbi","bishop","rabbi","biskup-rabín","biskup","rabín",7.82189321463644,6.876,5.93010678536356,7.75726657245929,6.69230769230769,5.6273488121561,9,3,9,6,8,4,9,3,9,8,7,9,3,9.9,4,9,6,4,8,7,5,8,9,6,9
"45","board-recommendation_výbor-doporučení","board-recommendation","board","recommendation","výbor-doporučení","výbor","doporučení",5.2098017211431,4.332,3.4541982788569,5.90342280843356,4.46875,3.03407719156644,4,0,2,4,7,6,8,1,6,5,3,5,4,6.3,3,5,2,6,3,4,8,3,7,2,4
"46","book-library_kniha-knihovna","book-library","book","library","kniha-knihovna","kniha","knihovna",9.15687608579282,8.688,8.21912391420719,8.22652880473744,7.46153846153846,6.69654811833949,9,8,7,8.5,10,8,10,8,10,9,9,9,9,9.9,5,8.5,9,9.3,8,8,10,9,10,8,8
"47","book-paper_kniha-papír","book-paper","book","paper","kniha-papír","kniha","papír",8.22042148808759,7.556,6.89157851191241,8.30233210567876,7.46153846153846,6.62074481739816,9,5,7,8,9,5,10,6,10,6,6,9,8,9.9,7,7.5,8,8,7,7,10,5,8.5,7,6
