slug,rating_value
rakusan-vede-stan-chce-vyhrat-volby-bartos-odmitl-jednani-s-ano-o-vlade,
manazeri-stavebnich-firem-nesou-vinu-za-nestesti-ve-studence-rekl-soud,
rakusan-sazi-na-vladu-slozenou-z-peti-stran-rozhodne-duveryhodnost-tvrdi,
v-prerove-explodovala-bomba-nastrazena-na-dodavce-ohrozila-i-detsky-domov,
mesta-prisla-o-nastroj-proti-vyloucenym-lokalitam-soud-zrusil-cast-zakona,
ponizeni-neuveritelny-egoismus-rusky-tisk-tepe-do-usa-kvuli-afghanistanu,
americke-deti-musi-vozit-do-skoly-uber-ridici-zlutych-autobusu-nejsou,
zeman-miri-do-brna-v-letounu-casa-jako-jedine-ho-snadno-nalozi-i-s-kreslem,
prazdroj-od-rijna-zvedne-ceny-piv-cepovane-podrazi-poprve-po-trech-letech,
kojenec-mel-radu-zlomenin-na-nohou-i-rukou-matka-tyrani-u-soudu-odmitla,
ridici-se-svezou-po-dalsim-useku-dalnice-d6-u-lubence-otevreli-obchvat,
uz-nezavirejte-skoly-demonstrovali-studenti-vojtech-s-nimi-souhlasil,
narizeni-karanteny-po-telefonu-neplati-zastal-se-soud-rodiny-ze-zdarska,
pr-klub-spousti-novou-komunikacni-public-affairs-platformu,
posledni-american-fotka-odletajiciho-generala-podtrhla-afghanske-fiasko,
pri-hadce-u-popelnic-na-chodove-zaznela-rana-muz-ma-prostrelenou-dlan,
slovensko-prestava-pouzivat-sputnik-matovicova-eskapada-tim-nadobro-konci,
policie-zprisni-kontroly-na-prazskem-letisti-dotknou-se-cizincu-i-cechu,
skode-transportation-patri-12-miliardy-od-ceskych-drah-potvrdil-soud,
v-brne-zavira-centrum-ktere-rozjelo-ockovani-podali-tu-400-tisic-davek,
komentar-horka-kampan-a-covidovy-mec-o-co-se-jeste-bude-hrat,
taliban-uz-kontroluje-letiste-v-kabulu-vyhrali-jsme-valku-prohlasuje,
studenty-vice-lakaji-zdravotnicke-obory-zajem-se-zvysuje-i-u-cizincu,
za-lobbing-v-eu-daly-firmy-97-milionu-eur-odkryla-zprava-rekord-ma-google,
dalsi-vyslechy-zalobce-saroch-vratil-capi-hnizdo-vysetrovatelum,
mobilni-toaletu-na-proseku-nezachranily-ani-srouby-zlodej-ji-odtahl-pryc,
policie-uz-zna-zenu-ktera-strcila-divku-na-kole-primo-na-projizdejici-autobus,
vstupenky-na-dny-nato-rychle-mizi-divaci-rezervovali-uz-ctvrtinu-kapacity,
online-rovinata-etapa-plna-nerovnosti-jakobsen-vypadl-z-pelotonu,
